Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
pomaranca,790,273,490000,,,,11:11:05.020771
pomaranca,788,270,506000,,,,11:11:05.069822
banana,719,480,2238000,,,,11:11:05.070181
pomaranca,785,261,497000,,,,11:11:05.116334
pomaranca,785,258,501000,,,,11:11:05.163928
pomaranca,785,258,500000,,,,11:11:05.212922
pomaranca,786,258,491000,,,,11:11:05.260846
pomaranca,785,259,492000,,,,11:11:05.309296
pomaranca,784,257,491000,,,,11:11:05.402985
pomaranca,779,251,493000,,,,11:11:05.538536
banana,443,594,634500,,,,11:11:05.538909
pomaranca,774,249,493000,,,,11:11:05.585892
banana,442,593,644000,,,,11:11:05.586236
pomaranca,778,251,496000,,,,11:11:05.682566
banana,444,593,669000,,,,11:11:05.682932
banana,694,457,492000,,,,11:11:06.433758
banana,450,592,672000,,,,11:11:06.434149
banana,449,592,629000,,,,11:11:06.483359
pomaranca,770,306,676000,,,,11:11:06.483798
pomaranca,773,231,493000,,,,11:11:06.484175
pomaranca,769,297,622000,,,,11:11:06.533712
banana,448,592,618000,,,,11:11:06.534181
pomaranca,767,299,633000,,,,11:11:06.582545
banana,449,593,628000,,,,11:11:06.583005
banana,446,593,606000,,,,11:11:06.629505
pomaranca,757,295,551000,,,,11:11:06.680287
banana,700,456,4309000,,,,11:11:06.680655
banana,446,593,613000,,,,11:11:06.681023
pomaranca,755,291,562000,,,,11:11:06.727548
banana,447,592,607000,,,,11:11:06.728057
pomaranca,754,296,648000,,,,11:11:06.778701
banana,447,592,607000,,,,11:11:06.779116
pomaranca,749,298,586000,,,,11:11:06.825707
banana,450,593,605500,,,,11:11:06.826071
pomaranca,750,297,617500,,,,11:11:06.872675
banana,446,592,606500,,,,11:11:06.873065
pomaranca,753,296,639500,,,,11:11:06.919875
banana,445,593,692000,,,,11:11:06.920283
pomaranca,754,296,633000,,,,11:11:06.966986
banana,450,592,639500,,,,11:11:06.967525
pomaranca,755,295,644000,,,,11:11:07.017418
banana,449,592,609000,,,,11:11:07.017781
pomaranca,756,296,567000,,,,11:11:07.064196
banana,448,592,619000,,,,11:11:07.064625
pomaranca,753,297,623000,,,,11:11:07.157438
banana,446,593,617500,,,,11:11:07.157863
banana,446,592,635000,,,,11:11:07.205932
pomaranca,755,298,672000,,,,11:11:07.255858
banana,451,591,630000,,,,11:11:07.256208
pomaranca,755,292,649000,,,,11:11:07.303825
banana,448,590,637000,,,,11:11:07.304330
pomaranca,757,272,498000,,,,11:11:07.353288
banana,449,592,646000,,,,11:11:07.353709
pomaranca,758,282,498000,,,,11:11:07.400632
pomaranca,757,216,507000,,,,11:11:07.400995
pomaranca,666,421,730500,,,,11:11:08.122764
banana,444,596,676000,,,,11:11:08.123277
pomaranca,653,427,504000,,,,11:11:08.212703
pomaranca,697,288,522000,,,,11:11:08.342670
pomaranca,641,293,7891000,,,,11:11:08.343184
banana,543,456,6105000,,,,11:11:08.391729
pomaranca,643,295,7184000,,,,11:11:08.392158
banana,548,455,3977000,,,,11:11:08.439044
pomaranca,695,274,490000,,,,11:11:08.793458
banana,530,434,638000,,,,11:11:09.051445
pomaranca,695,284,584000,,,,11:11:09.099450
banana,547,456,507000,,,,11:11:09.837020
pomaranca,708,291,1308000,,,,11:11:10.191205
banana,534,457,2615000,,,,11:11:10.370764
pomaranca,705,292,3942000,,,,11:11:10.417151
banana,520,458,5396000,,,,11:11:10.417560
banana,517,458,573000,,,,11:11:10.468012
pomaranca,653,304,660000,,,,11:11:10.648745
pomaranca,657,325,622000,,,,11:11:10.700209
pomaranca,670,325,709000,,,,11:11:10.746598
banana,569,469,669000,,,,11:11:10.746960
pomaranca,669,323,668500,,,,11:11:10.793876
pomaranca,637,312,626000,,,,11:11:11.645214
pomaranca,639,311,670000,,,,11:11:11.734347
pomaranca,637,318,662000,,,,11:11:11.778351
pomaranca,636,321,641000,,,,11:11:11.823809
pomaranca,635,324,642000,,,,11:11:11.875058
banana,530,473,4459000,,,,11:11:11.921809
pomaranca,636,324,647500,,,,11:11:11.922182
pomaranca,637,324,663000,,,,11:11:11.973608
pomaranca,639,323,654500,,,,11:11:12.022284
pomaranca,638,320,639000,,,,11:11:12.073199
banana,643,476,5803000,,,,11:11:12.073570
pomaranca,635,321,625000,,,,11:11:12.119553
pomaranca,633,322,605000,,,,11:11:12.167575
pomaranca,634,322,649000,,,,11:11:12.211308
pomaranca,636,322,650000,,,,11:11:12.256126
pomaranca,638,321,642000,,,,11:11:12.307475
banana,637,478,757000,,,,11:11:12.307834
pomaranca,643,322,642000,,,,11:11:12.353639
pomaranca,641,324,657000,,,,11:11:12.402508
pomaranca,642,325,682000,,,,11:11:12.450496
pomaranca,640,325,688000,,,,11:11:12.495655
pomaranca,712,312,694000,,,,11:11:13.405608
pomaranca,704,315,658500,,,,11:11:13.625970
pomaranca,700,315,630000,,,,11:11:13.674440
pomaranca,694,319,1821000,,,,11:11:13.806481
pomaranca,694,320,711000,,,,11:11:13.854422
pomaranca,278,185,493000,,,,11:11:15.433234
banana,301,556,492000,,,,11:11:15.523801
pomaranca,271,183,504000,,,,11:11:15.569993
banana,295,544,512000,,,,11:11:15.664380
banana,288,553,514000,,,,11:11:15.756142
banana,306,513,513000,,,,11:11:15.756532
banana,267,476,524000,,,,11:11:15.803586
banana,276,459,543000,,,,11:11:15.854901
banana,292,417,582000,,,,11:11:15.900038
banana,298,465,603000,,,,11:11:15.900426
pomaranca,251,613,492000,,,,11:11:16.702479
pomaranca,254,607,491000,,,,11:11:16.751557
pomaranca,254,600,493000,,,,11:11:16.797711
pomaranca,251,596,491000,,,,11:11:16.845811
pomaranca,239,609,494000,,,,11:11:17.027737
pomaranca,238,615,493000,,,,11:11:17.160799
pomaranca,240,608,491000,,,,11:11:17.249901
banana,67,441,491000,,,,11:11:17.250246
banana,71,385,1032000,,,,11:11:17.298976
pomaranca,233,605,490000,,,,11:11:17.345829
banana,49,429,493000,,,,11:11:17.528795
banana,376,382,501000,,,,11:11:18.441316
banana,424,395,569000,,,,11:11:18.573705
banana,409,400,578000,,,,11:11:18.620704
banana,298,327,569000,,,,11:11:18.670862
banana,433,411,581000,,,,11:11:18.718324
banana,438,429,579000,,,,11:11:18.768514
banana,447,460,557000,,,,11:11:18.814983
banana,453,463,561000,,,,11:11:18.867694
banana,463,471,577000,,,,11:11:18.916143
banana,466,468,576000,,,,11:11:18.965587
jabolka,702,172,1561000,,,,11:11:18.965936
banana,474,468,584000,,,,11:11:19.011371
